実質季節調整系列,,,,,,,,, ,,,,,,,,,,,,,
Gross Domestic Expenditure at Constant Prices (seasonally adjusted series),,,,,,,,,,,,,,,,,,,,,,
※旧68SNA・1990年基準計数（1999年4-6月期から2000年1-3月期の計数は速報値、2000年4-6月期以降の計数は簡便的に推計した参考系列である。）,,,,,,,,,,,,(1990暦年基準),,,,,,(単位:10億円),,,,
"    Former SNA68 series ; Benchmark year=1990 (Apr.-Jun.1999 to Jan.-Mar.2000:Preliminary , Apr.-Jun. to Oct.-Dec.2000:Referential)",,,,,,,,,,,,(at market prices in calendar year of 1990),,,,,,(billion yen),,,,
,民間最終消費支出,民間住宅,民間企業設備,民間在庫品増加,政府最終消費支出,公的固定資本形成,公的在庫品増加,財貨・サービス,,,国内総支出,要素所得,,,国民総支出,国内需要,民間需要,公的需要,,,,
,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,
,Private Consumption,Residential Investment,Non-Resi. Investment,Private Inventory,Government Consumption,Public Investment,Public Inventory,Goods & Services,,,GDE(=GDP),Factor Incomes,,,GNE(=GNP),Domestic Demand,Private Demand,Public Demand,,,,
,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,
1955/ 1- 3.,,,, , ,,,,,,,,,,,,,,,,,
7- 9.,70435.2 ,6951.3 ,10718.5 ,1119.8 ,15347.1 ,8762.7 ,341.2 ,-1338.8 ,5211.7 ,6550.5 ,112337.0 ,-320.0 ,389.6 ,709.6 ,112016.9 ,113675.8 ,89224.7 ,24451.1 
10-12.,72150.9 ,7223.5 ,10503.1 ,1163.0 ,15581.2 ,9106.7 ,-91.0 ,-1557.6 ,5083.2 ,6640.9 ,114079.8 ,-283.1 ,429.2 ,712.4 ,113796.7 ,115637.4 ,91040.5 ,24596.9 
1966/ 1- 3.,74239.6 ,6861.8 ,10826.5 ,453.9 ,15800.5 ,9820.8 ,246.4 ,-1114.5 ,5774.1 ,6888.6 ,117135.0 ,-303.4 ,413.9 ,717.2 ,116831.6 ,118249.5 ,92381.7 ,25867.8 
4- 6.,75714.2 ,7249.0 ,12253.5 ,728.0 ,15972.2 ,11015.0 ,173.1 ,-1386.7 ,5793.0 ,7179.7 ,121718.3 ,-315.4 ,439.2 ,754.6 ,121402.9 ,123105.0 ,95944.7 ,27160.3 
7- 9.,77365.2 ,7440.3 ,13091.7 ,1030.6 ,16098.1 ,10670.1 ,421.4 ,-1439.0 ,6041.5 ,7480.4 ,124678.3 ,-331.4 ,442.7 ,774.2 ,124346.9 ,126117.3 ,98927.7 ,27189.6 
10-12.,80007.0 ,7255.5 ,13644.2 ,1095.4 ,16244.3 ,10100.1 ,475.0 ,-1653.8 ,6250.5 ,7904.3 ,127167.7 ,-299.7 ,451.9 ,751.6 ,126868.0 ,128821.5 ,102002.1 ,26819.3 
1967/ 1- 3.,81765.2 ,7912.9 ,14458.7 ,2061.4 ,16334.8 ,9849.0 ,212.0 ,-2055.4 ,6207.2 ,8262.6 ,130538.6 ,-307.7 ,456.2 ,763.9 ,130230.9 ,132594.0 ,106198.2 ,26395.8 
4- 6.,84289.5 ,8366.8 ,15539.3 ,1407.2 ,16491.6 ,10475.9 ,250.3 ,-2769.3 ,6305.3 ,9074.6 ,134051.3 ,-302.3 ,499.4 ,801.7 ,133749.0 ,136820.7 ,109602.9 ,27217.8 
7- 9.,86366.4 ,8589.0 ,16483.8 ,1383.0 ,16679.1 ,10967.6 ,977.1 ,-2746.5 ,6451.6 ,9198.1 ,138699.6 ,-333.4 ,478.4 ,811.7 ,138366.2 ,141446.1 ,112822.2 ,28623.9 
10-12.,87068.5 ,9464.7 ,17616.6 ,1386.2 ,16804.6 ,11218.9 ,920.3 ,-3099.6 ,6514.5 ,9614.2 ,141380.2 ,-336.0 ,486.8 ,822.8 ,141044.2 ,144479.8 ,115536.0 ,28943.8 
