実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
2003/ 1- 3.,"487,819.5 ","277,478.0 ","272,463.1 ","229,821.5 ","24,752.2 ","74,469.2 ",-471.6 ,"89,548.0 ","36,975.3 ",-72.2 ,"-11,136.3 ","55,863.6 ","67,000.0 ","-3,723.0 ",,"17,513.2 ","505,332.7 ","7,620.8 ","10,720.1 ","3,099.3 ","512,953.5 ",,"501,685.2 ","376,278.3 ","125,464.3 ",,"134,982.3 ",,"487,749.4 ",,,
4- 6.,"491,172.8 ","276,981.8 ","271,773.6 ","228,909.1 ","24,892.2 ","75,611.8 ",-651.9 ,"90,343.1 ","37,121.7 ",74.6 ,"-8,772.6 ","55,994.3 ","64,766.9 ","-4,427.9 ",,"18,131.2 ","509,304.0 ","7,823.9 ","10,714.4 ","2,890.5 ","517,127.9 ",,"503,371.1 ","376,903.5 ","126,542.9 ",,"136,447.0 ",,"491,139.2 ",,,
7- 9.,"492,586.1 ","276,821.0 ","271,474.5 ","228,346.5 ","25,390.1 ","74,433.4 ","1,815.7 ","90,679.3 ","36,093.4 ",-98.3 ,"-8,351.7 ","57,995.2 ","66,347.0 ","-4,196.9 ",,"18,252.6 ","510,838.6 ","9,338.5 ","12,135.0 ","2,796.4 ","520,177.2 ",,"503,963.2 ","378,216.8 ","125,806.2 ",,"134,714.0 ",,"490,540.1 ",,,
10-12.,"497,976.8 ","280,606.6 ","275,208.8 ","231,967.9 ","25,071.4 ","77,427.0 ",-705.5 ,"91,067.0 ","35,256.3 ",-393.6 ,"-6,897.0 ","60,961.3 ","67,858.3 ","-3,455.3 ",,"18,596.6 ","516,573.5 ","8,367.5 ","11,039.5 ","2,671.9 ","524,941.0 ",,"507,655.7 ","382,499.2 ","125,185.9 ",,"136,811.1 ",,"498,376.9 ",,,
2004/ 1- 3.,"501,653.6 ","280,506.3 ","275,143.6 ","231,640.5 ","25,345.4 ","77,359.4 ","2,902.8 ","91,485.1 ","33,608.0 ",-341.2 ,"-5,975.3 ","63,963.0 ","69,938.2 ","-3,236.8 ",,"17,893.8 ","519,547.5 ","9,358.8 ","12,021.5 ","2,662.8 ","528,906.2 ",,"510,028.9 ","385,869.3 ","124,153.7 ",,"135,462.8 ",,"498,825.4 ",,,
4- 6.,"501,706.8 ","280,912.2 ","275,599.1 ","231,949.9 ","25,841.8 ","77,084.9 ","1,227.2 ","91,095.3 ","33,434.8 ",63.4 ,"-5,056.8 ","66,065.9 ","71,122.7 ","-2,895.9 ",,"16,876.4 ","518,583.2 ","10,035.5 ","12,894.5 ","2,859.0 ","528,618.8 ",,"508,866.8 ","384,907.0 ","123,954.3 ",,"135,467.2 ",,"500,016.7 ",,,
7- 9.,"504,766.0 ","283,000.2 ","277,702.8 ","233,902.1 ","25,913.0 ","78,066.1 ","2,130.5 ","91,480.2 ","32,801.6 ",54.6 ,"-6,048.2 ","66,638.1 ","72,686.3 ","-2,631.8 ",,"16,847.7 ","521,613.8 ","10,338.8 ","13,426.3 ","3,087.5 ","531,952.6 ",,"512,677.3 ","388,886.1 ","123,761.6 ",,"135,968.9 ",,"502,283.7 ",,,
10-12.,"503,829.9 ","281,523.6 ","276,201.4 ","232,253.6 ","25,957.8 ","79,785.2 ","1,890.4 ","91,492.6 ","32,391.0 ",152.8 ,"-7,335.1 ","67,516.2 ","74,851.3 ","-2,028.3 ",,"17,363.8 ","521,193.8 ","10,790.5 ","14,034.6 ","3,244.1 ","531,984.2 ",,"512,476.8 ","388,954.8 ","123,487.7 ",,"137,425.1 ",,"501,476.3 ",,,
2005/ 1- 3.,"506,383.3 ","283,178.1 ","277,806.1 ","233,749.8 ","25,561.4 ","81,795.3 ","1,172.6 ","92,380.7 ","31,690.1 ",188.0 ,"-7,509.7 ","66,833.8 ","74,343.6 ","-2,073.1 ",,"16,173.5 ","522,556.8 ","10,324.6 ","14,207.2 ","3,882.6 ","532,881.4 ",,"515,433.7 ","391,606.4 ","123,785.7 ",,"138,485.2 ",,"504,645.1 ",,,
4- 6.,"510,335.0 ","285,023.4 ","279,584.1 ","235,391.6 ","25,348.9 ","84,634.3 ","1,303.6 ","91,986.6 ","29,699.9 ",-19.2 ,"-5,980.4 ","69,714.8 ","75,695.2 ","-1,662.0 ",,"14,110.5 ","524,445.5 ","11,534.2 ","15,622.7 ","4,088.5 ","535,979.6 ",,"517,703.1 ","396,241.9 ","121,367.0 ",,"139,374.9 ",,"508,653.1 ",,,
7- 9.,"515,520.3 ","287,725.9 ","282,227.5 ","237,884.6 ","25,862.3 ","86,517.3 ",772.5 ,"91,823.3 ","30,164.9 ",17.7 ,"-5,962.0 ","71,901.9 ","77,863.8 ","-1,401.6 ",,"12,640.8 ","528,161.2 ","12,250.7 ","16,387.0 ","4,136.3 ","540,411.9 ",,"522,584.4 ","400,816.7 ","121,659.2 ",,"142,242.7 ",,"514,286.2 ",,,
10-12.,"516,417.1 ","287,784.0 ","282,248.7 ","237,753.6 ","26,160.1 ","85,113.2 ",460.5 ,"92,236.5 ","29,550.1 ",-2.6 ,"-3,506.3 ","74,398.0 ","77,904.3 ","-1,378.4 ",,"11,537.6 ","527,954.7 ","13,164.1 ","17,826.3 ","4,662.2 ","541,118.8 ",,"521,037.5 ","399,438.9 ","121,496.6 ",,"140,485.0 ",,"515,488.8 ",,,
2006/ 1- 3.,"517,221.5 ","288,790.3 ","283,245.9 ","238,639.1 ","25,894.2 ","84,756.6 ",-231.4 ,"91,970.9 ","30,331.8 ",32.5 ,"-3,144.6 ","76,111.3 ","79,256.0 ","-1,178.8 ",,"9,312.7 ","526,534.2 ","13,871.0 ","18,955.5 ","5,084.5 ","540,405.3 ",,"521,259.3 ","399,183.5 ","121,981.5 ",,"140,602.0 ",,"516,912.5 ",,,
4- 6.,"518,021.9 ","288,459.9 ","282,884.5 ","238,122.7 ","25,827.5 ","86,146.3 ",-83.5 ,"92,403.2 ","29,168.6 ",-24.6 ,"-2,981.5 ","77,393.1 ","80,374.6 ",-894.0 ,,"9,198.6 ","527,220.5 ","13,751.0 ","19,205.4 ","5,454.3 ","540,971.6 ",,"521,712.2 ","400,328.2 ","121,283.8 ",,"140,880.2 ",,"517,637.4 ",,,
7- 9.,"517,007.0 ","286,263.2 ","280,644.9 ","235,714.9 ","25,876.4 ","86,302.0 ",759.2 ,"92,455.2 ","27,581.3 ",43.8 ,"-1,539.4 ","78,819.5 ","80,358.9 ",-734.8 ,,"7,982.4 ","524,989.4 ","14,352.4 ","19,949.7 ","5,597.2 ","539,341.8 ",,"519,172.6 ","399,128.8 ","119,937.2 ",,"139,590.1 ",,"515,768.7 ",,,
