é¿éøãGêﬂí≤êÆånóÒ,,,,,,,,,,,,,,,,<éQçl>,,,,,,,,,,,(íPà :2000óÔîNòAçΩâøäiÅA10â≠â~),,,,,,,,,,,
Real Gross Domestic Product (seasonally adjusted series),,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billions of chained (2000) yen),,,,,,,,,,,
,çëì‡ëçê∂éY(éxèoë§),ñØä‘ç≈èIè¡îÔéxèo,,,ñØä‘èZëÓ,ñØä‘äÈã∆ê›îı,ñØä‘ç›å…ïiëùâ¡,ê≠ï{ç≈èIè¡îÔéxèo,åˆìIå≈íËéëñ{å`ê¨,åˆìIç›å…ïiëùâ¡,ç‡â›ÅEÉTÅ[ÉrÉX,,,äJç∑,,åà’óòìæ,çëì‡ëçèäìæ,äCäOÇ©ÇÁÇÃèäìæ,,,çëñØëçèäìæ,,çëì‡é˘óv,ñØä‘é˘óv,åˆìIé˘óv,,ëçå≈íËéëñ{å`ê¨,,,,,,,,,,,
,,,â∆åvç≈èIè¡îÔéxèo,,,,,,,,èÉóAèo,óAèo,óAì¸,,,,,èÉéÛéÊ,éÛéÊ,éxï•,,,,,,,,,,,,,,,,,,
,,,,èúÇ≠éùÇøâ∆ÇÃãAëÆâ∆í¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(expenditure approach),PrivateConsumption,Consumption ofHouseholds,Excludingimputed rent,PrivateResidentialInvestment,Private Non-Resi.Investment,PrivateInventory,GovernmentConsumption,PublicInvestment,PublicInventory,Goods & Services,,,Residual,,Tradinggains/losses,GDI,Income from /to the rest of the world,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross fixed capitalformation,,,,,,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,,,,,,,
7- 9.,"378,526.6 ","214,513.8 ","211,174.4 ","179,989.7 ","22,769.2 ","54,870.8 ","1,283.4 ","57,212.2 ","25,390.9 ","-1,137.6 ","5,656.6 ","28,300.7 ","22,644.1 ","-2,032.7 ",,"2,031.5 ","380,558.1 ","2,680.8 ","8,685.0 ","6,004.2 ","383,238.9 ",,"374,204.0 ","293,018.6 ","81,366.5 ",,"102,338.1 ",,,,,,,,,,,
10-12.,"388,272.9 ","218,444.3 ","215,074.1 ","183,582.4 ","24,515.1 ","56,146.5 ","2,450.2 ","57,191.2 ","27,173.9 ","-1,028.4 ","5,158.8 ","28,619.5 ","23,460.7 ","-1,778.6 ",,"2,551.8 ","390,824.7 ","2,688.7 ","9,212.8 ","6,524.1 ","393,513.4 ",,"384,710.8 ","301,580.1 ","83,300.9 ",,"106,853.2 ",,,,,,,,,,,
1988/ 1- 3.,"397,541.8 ","220,968.1 ","217,546.5 ","185,810.4 ","25,588.7 ","58,497.9 ","4,392.1 ","58,297.5 ","27,682.4 ",-718.6 ,"4,044.4 ","28,776.3 ","24,731.9 ","-1,210.7 ",,"2,968.2 ","400,510.0 ","2,398.9 ","9,527.2 ","7,128.3 ","402,908.8 ",,"395,519.3 ","310,491.0 ","85,183.8 ",,"110,799.4 ",,,,,,,,,,,
4- 6.,"396,961.4 ","224,775.4 ","221,302.9 ","189,304.0 ","24,900.8 ","61,167.5 ",845.5 ,"58,822.4 ","26,865.2 ","-1,245.6 ","3,316.3 ","29,228.7 ","25,912.4 ","-2,485.9 ",,"2,781.7 ","399,743.1 ","1,908.7 ","9,500.2 ","7,591.6 ","401,651.7 ",,"395,780.7 ","311,495.3 ","84,404.4 ",,"112,335.8 ",,,,,,,,,,,
7- 9.,"405,817.4 ","225,229.5 ","221,715.4 ","189,513.0 ","24,330.6 ","64,934.3 ","3,161.0 ","59,306.3 ","26,943.2 ","-1,154.0 ","3,721.1 ","30,944.2 ","27,223.1 ",-654.7 ,,"2,861.6 ","408,678.9 ","2,887.8 ","11,572.5 ","8,684.7 ","411,566.7 ",,"404,054.1 ","319,086.7 ","85,039.1 ",,"115,982.5 ",,,,,,,,,,,
10-12.,"410,094.0 ","227,548.6 ","223,989.8 ","191,562.2 ","25,054.5 ","66,842.6 ","2,311.9 ","59,601.0 ","26,363.0 ",-987.2 ,"4,179.1 ","31,184.7 ","27,005.7 ",-819.4 ,,"4,060.0 ","414,154.0 ","2,465.5 ","11,975.5 ","9,510.0 ","416,619.5 ",,"407,803.7 ","322,972.1 ","84,861.3 ",,"118,114.4 ",,,,,,,,,,,
1989/ 1- 3.,"421,158.5 ","234,416.9 ","230,810.1 ","198,004.4 ","25,255.4 ","73,116.9 ","1,151.7 ","60,123.6 ","26,695.0 ",-584.8 ,"2,061.2 ","32,077.0 ","30,015.7 ","-1,077.4 ",,"4,196.0 ","425,354.5 ","2,259.1 ","12,650.0 ","10,390.9 ","427,613.6 ",,"421,472.5 ","335,371.8 ","86,065.9 ",,"125,299.2 ",,,,,,,,,,,
4- 6.,"415,659.3 ","230,202.8 ","226,543.9 ","193,660.6 ","24,525.1 ","70,137.0 ","2,996.7 ","60,535.7 ","25,825.7 ",-772.5 ,"2,550.0 ","32,871.4 ","30,321.4 ",-341.3 ,,"2,866.8 ","418,526.1 ","1,741.9 ","13,909.6 ","12,167.7 ","420,268.0 ",,"415,179.8 ","329,783.8 ","85,388.4 ",,"120,643.9 ",,,,,,,,,,,
7- 9.,"422,932.0 ","235,341.8 ","231,630.1 ","198,414.0 ","24,337.2 ","72,450.8 ","2,326.5 ","60,849.7 ","26,917.8 ",-755.2 ,"2,034.6 ","33,313.1 ","31,278.4 ",-571.3 ,,"2,761.3 ","425,693.3 ","3,613.3 ","16,299.5 ","12,686.2 ","429,306.6 ",,"423,135.8 ","336,271.0 ","86,854.5 ",,"123,968.2 ",,,,,,,,,,,
10-12.,"436,035.5 ","241,821.4 ","238,072.1 ","204,486.7 ","24,565.0 ","76,048.2 ","4,198.0 ","61,373.5 ","27,296.3 ",-509.0 ,"1,164.9 ","33,306.8 ","32,141.9 ",77.3 ,,"2,935.9 ","438,971.4 ","4,123.6 ","18,258.2 ","14,134.6 ","443,095.0 ",,"437,513.4 ","349,458.2 ","87,977.0 ",,"128,357.7 ",,,,,,,,,,,
1990/ 1- 3.,"433,961.0 ","240,969.1 ","237,198.8 ","203,443.5 ","24,822.7 ","76,338.0 ","1,426.0 ","61,724.4 ","28,309.6 ",-486.2 ,"1,510.9 ","34,435.0 ","32,924.1 ",-653.4 ,,"2,377.3 ","436,338.3 ","4,378.8 ","19,107.4 ","14,728.6 ","440,717.0 ",,"434,837.3 ","345,405.3 ","89,409.8 ",,"129,853.0 ",,,,,,,,,,,
4- 6.,"447,648.0 ","249,196.1 ","245,420.0 ","211,255.2 ","25,350.8 ","79,207.8 ","2,335.9 ","62,662.3 ","27,743.8 ",-527.9 ,"1,965.6 ","35,243.9 ","33,278.3 ",-286.4 ,,"2,007.3 ","449,655.2 ","2,368.4 ","19,476.1 ","17,107.7 ","452,023.6 ",,"448,093.9 ","358,329.7 ","89,687.8 ",,"132,802.4 ",,,,,,,,,,,
7- 9.,"455,153.9 ","251,555.3 ","247,767.7 ","213,343.7 ","26,220.3 ","81,590.9 ","2,820.7 ","62,834.0 ","28,119.5 ",-29.0 ,"2,121.5 ","35,000.6 ","32,879.1 ",-79.3 ,,"1,455.3 ","456,609.3 ","2,280.6 ","17,922.0 ","15,641.3 ","458,889.9 ",,"455,572.5 ","364,797.5 ","90,687.8 ",,"136,448.7 ",,,,,,,,,,,
10-12.,"454,289.2 ","249,187.1 ","245,348.2 ","210,786.0 ","26,160.4 ","82,908.8 ","1,912.9 ","63,723.6 ","29,169.0 ",-320.3 ,"1,614.3 ","36,296.8 ","34,682.5 ",-66.5 ,,207.7 ,"454,496.9 ","2,254.1 ","17,753.9 ","15,499.8 ","456,751.1 ",,"455,160.5 ","362,711.0 ","92,405.8 ",,"138,785.2 ",,,,,,,,,,,
1991/ 1- 3.,"458,247.5 ","250,079.7 ","246,147.3 ","211,371.9 ","25,962.0 ","85,319.1 ",722.8 ,"64,584.5 ","28,309.2 ",-758.5 ,"3,676.4 ","36,315.6 ","32,639.2 ",352.3 ,,"1,274.7 ","459,522.2 ","3,504.2 ","19,223.6 ","15,719.4 ","463,026.4 ",,"456,548.5 ","364,542.3 ","91,948.1 ",,"140,307.5 ",,,,,,,,,,,
4- 6.,"463,684.2 ","253,767.5 ","249,751.6 ","214,714.5 ","25,010.3 ","83,461.3 ","4,411.5 ","64,794.2 ","27,582.7 ",-230.4 ,"3,798.8 ","36,462.9 ","32,664.1 ","1,088.2 ",,"2,181.5 ","465,865.7 ","2,735.3 ","19,403.3 ","16,668.0 ","468,601.0 ",,"461,894.9 ","369,965.1 ","91,850.9 ",,"136,797.7 ",,,,,,,,,,,
7- 9.,"462,657.7 ","252,994.6 ","248,910.9 ","213,719.2 ","23,663.3 ","83,205.2 ","3,778.9 ","65,542.6 ","29,021.4 ",-462.8 ,"3,874.2 ","37,332.9 ","33,458.6 ","1,040.2 ",,"2,567.0 ","465,224.7 ","3,178.5 ","19,804.3 ","16,625.8 ","468,403.2 ",,"460,721.7 ","366,783.3 ","93,890.6 ",,"136,695.9 ",,,,,,,,,,,
